article_id	start_position	end_position	entity_text	entity_type	source
1	76	80	0.79	med_exam	3-bert
1	94	96	88	med_exam	3-bert
1	122	124	60	med_exam	3-bert
1	258	261	2.6	med_exam	3-bert
1	366	369	6.6	med_exam	3-bert
1	385	388	6.6	med_exam	3-bert
1	394	397	8.3	med_exam	3-bert
1	407	410	8.3	med_exam	3-bert
1	418	421	8.3	med_exam	3-bert
1	463	466	6.2	med_exam	3-bert
1	873	875	21	med_exam	3-bert
2	170	174	1100	med_exam	3-bert
2	245	249	1145	med_exam	3-bert
2	275	278	500	med_exam	3-bert
2	285	288	500	med_exam	3-bert
2	678	680	55	med_exam	3-bert
2	681	683	57	med_exam	3-bert
2	699	701	52	med_exam	3-bert
2	872	873	3	med_exam	3-bert
2	1090	1094	7.56	med_exam	3-bert
2	1239	1241	35	med_exam	3-bert
2	1246	1248	35	med_exam	3-bert
4	148	153	36．9度	med_exam	3-bert
4	157	162	36．9度	med_exam	3-bert
4	163	168	36．9度	med_exam	3-bert
4	173	179	114/66	med_exam	3-bert
4	215	218	622	med_exam	3-bert
4	288	290	15	med_exam	3-bert
4	299	301	30	med_exam	3-bert
4	303	305	12	med_exam	3-bert
4	319	321	15	med_exam	3-bert
4	326	328	31	med_exam	3-bert
5	106	108	20	med_exam	3-bert
5	114	116	20	med_exam	3-bert
5	151	155	9700	med_exam	3-bert
5	162	166	9700	med_exam	3-bert
5	171	175	9700	med_exam	3-bert
5	2241	2245	9700	med_exam	3-bert
5	2268	2270	20	med_exam	3-bert
5	2271	2273	20	med_exam	3-bert
5	2275	2277	20	med_exam	3-bert
6	106	112	二點一二公分	med_exam	3-bert
6	238	243	四點一公分	med_exam	3-bert
6	317	320	四點多	med_exam	3-bert
6	2261	2264	三五八	med_exam	3-bert
8	60	62	五百	med_exam	3-bert
8	124	127	四十一	med_exam	3-bert
8	129	131	十九	med_exam	3-bert
8	504	507	五千五	med_exam	3-bert
8	543	547	一萬五千	med_exam	3-bert
9	1453	1459	14幾15幾	med_exam	3-bert
9	1525	1528	140	med_exam	3-bert
9	1599	1602	120	med_exam	3-bert
9	2913	2917	13.7	med_exam	3-bert
11	872	876	17.1	med_exam	3-bert
11	919	922	一百多	med_exam	3-bert
11	932	935	121	med_exam	3-bert
11	940	942	29	med_exam	3-bert
11	951	953	17	med_exam	3-bert
11	963	965	17	med_exam	3-bert
11	1218	1221	120	med_exam	3-bert
11	1353	1356	120	med_exam	3-bert
11	3549	3552	201	med_exam	3-bert
11	4485	4489	2013	med_exam	3-bert
11	5191	5196	11/29	med_exam	3-bert
11	5210	5215	11/29	med_exam	3-bert
11	5618	5621	八公斤	med_exam	3-bert
11	5697	5699	75	med_exam	3-bert
11	5704	5706	63	med_exam	3-bert
11	5707	5709	62	med_exam	3-bert
11	5727	5730	十公斤	med_exam	3-bert
11	5774	5776	63	med_exam	3-bert
11	5787	5794	75到63公斤	med_exam	3-bert
13	958	960	一七	med_exam	3-bert
13	965	968	一七五	med_exam	3-bert
13	973	976	七十三	med_exam	3-bert
13	980	983	一七五	med_exam	3-bert
13	1025	1028	七十八	med_exam	3-bert
13	1106	1109	一一五	med_exam	3-bert
14	529	532	349	med_exam	3-bert
14	703	706	500	med_exam	3-bert
15	648	650	47	med_exam	3-bert
15	651	653	42	med_exam	3-bert
15	666	669	0.2	med_exam	3-bert
16	141	145	62公斤	med_exam	3-bert
16	149	151	62	med_exam	3-bert
16	163	168	173公分	med_exam	3-bert
16	172	177	173公分	med_exam	3-bert
16	266	269	263	med_exam	3-bert
16	290	292	20	med_exam	3-bert
16	405	409	200多	med_exam	3-bert
16	1100	1103	294	med_exam	3-bert
17	392	396	0.83	med_exam	3-bert
17	408	410	87	med_exam	3-bert
17	600	603	6.7	med_exam	3-bert
17	608	611	6.7	med_exam	3-bert
18	1011	1014	六十八	med_exam	3-bert
18	1020	1023	六十八	med_exam	3-bert
21	25	29	72公斤	med_exam	3-bert
21	77	81	1107	med_exam	3-bert
21	86	90	1107	med_exam	3-bert
21	99	105	1106.5	med_exam	3-bert
21	110	114	1107	med_exam	3-bert
21	132	136	1107	med_exam	3-bert
21	198	200	89	med_exam	3-bert
21	212	215	4.8	med_exam	3-bert
21	216	219	4.8	med_exam	3-bert
22	164	166	63	med_exam	3-bert
22	172	174	63	med_exam	3-bert
23	1389	1392	170	med_exam	3-bert
23	1393	1396	180	med_exam	3-bert
23	1400	1403	170	med_exam	3-bert
23	1404	1407	180	med_exam	3-bert
23	1639	1642	180	med_exam	3-bert
23	1662	1665	170	med_exam	3-bert
23	1666	1669	180	med_exam	3-bert
24	137	139	59	med_exam	3-bert
24	143	145	59	med_exam	3-bert
26	157	159	55	med_exam	3-bert
26	163	165	55	med_exam	3-bert
26	176	179	162	med_exam	3-bert
26	183	186	162	med_exam	3-bert
26	454	457	497	med_exam	3-bert
26	466	469	497	med_exam	3-bert
26	642	644	30	med_exam	3-bert
26	1123	1126	140	med_exam	3-bert
27	276	281	0．125	med_exam	3-bert
28	89	94	九一二點四	med_exam	3-bert
28	97	100	九一二	med_exam	3-bert
28	276	279	九點一	med_exam	3-bert
28	337	340	九點一	med_exam	3-bert
28	559	562	八十九	med_exam	3-bert
28	604	607	七十一	med_exam	3-bert
29	27	31	0．42	med_exam	3-bert
29	42	44	12	med_exam	3-bert
29	49	52	2．1	med_exam	3-bert
29	56	59	2．1	med_exam	3-bert
30	36	39	935	med_exam	3-bert
32	149	153	9.53	med_exam	3-bert
32	158	162	9.53	med_exam	3-bert
33	161	164	690	med_exam	3-bert
34	311	314	874	med_exam	3-bert
36	39	42	256	med_exam	3-bert
36	99	102	195	med_exam	3-bert
36	957	960	172	med_exam	3-bert
36	965	967	59	med_exam	3-bert
36	968	970	60	med_exam	3-bert
36	974	976	59	med_exam	3-bert
36	977	979	60	med_exam	3-bert
36	1116	1125	183745524	med_exam	3-bert
37	82	85	130	med_exam	3-bert
40	500	509	184666204	med_exam	3-bert
41	579	584	五百九十三	med_exam	3-bert
41	585	590	五百九十三	med_exam	3-bert
41	600	605	五八六點七	med_exam	3-bert
41	618	620	四百	med_exam	3-bert
41	635	637	五百	med_exam	3-bert
41	649	651	五百	med_exam	3-bert
41	806	809	一千六	med_exam	3-bert
41	824	827	一千六	med_exam	3-bert
41	834	837	一千六	med_exam	3-bert
41	1527	1530	一千七	med_exam	3-bert
43	193	196	632	med_exam	3-bert
44	286	290	400多	med_exam	3-bert
44	301	305	400多	med_exam	3-bert
44	353	356	200	med_exam	3-bert
44	358	361	200	med_exam	3-bert
44	369	372	455	med_exam	3-bert
44	384	385	2	med_exam	3-bert
44	387	390	221	med_exam	3-bert
44	391	394	222	med_exam	3-bert
44	494	497	7.5	med_exam	3-bert
44	531	533	98	med_exam	3-bert
44	540	542	98	med_exam	3-bert
45	54	58	2750	med_exam	3-bert
45	96	98	10	med_exam	3-bert
45	859	861	k2	med_exam	3-bert
45	862	864	k2	med_exam	3-bert
45	1214	1216	k2	med_exam	3-bert
45	1451	1454	0.5	med_exam	3-bert
45	1507	1511	67.5	med_exam	3-bert
45	1604	1607	0.5	med_exam	3-bert
45	1613	1616	四公斤	med_exam	3-bert
45	1723	1726	0.5	med_exam	3-bert
45	1745	1748	0.5	med_exam	3-bert
45	1773	1775	63	med_exam	3-bert
45	1789	1791	63	med_exam	3-bert
45	1808	1812	67.5	med_exam	3-bert
45	1823	1827	67.5	med_exam	3-bert
45	1833	1835	68	med_exam	3-bert
45	2075	2077	62	med_exam	3-bert
45	2078	2080	63	med_exam	3-bert
45	2099	2101	61	med_exam	3-bert
