article_id	start_position	end_position	entity_text	entity_type	source
8	1153	1158	56387	ID	2-dict
9	7	17	E127388873	ID	1-re
13	1273	1283	E137354975	ID	1-re
14	1258	1263	78362	ID	2-dict
16	1100	1103	294	ID	2-dict
18	1836	1839	625	ID	2-dict
22	752	756	7382	ID	2-dict
35	1801	1811	R103846354	ID	1-re
36	1115	1125	E183745524	ID	1-re
39	1486	1490	8353	ID	2-dict
40	499	509	E184666204	ID	1-re
42	5	10	63554	ID	2-dict
44	6	16	R113566480	ID	1-re
45	3281	3286	23343	ID	2-dict
46	388	391	625	ID	2-dict
48	1866	1871	66674	ID	2-dict
49	8	18	R113993846	ID	1-re
51	20	30	R334666726	ID	1-re
62	1928	1932	3452	ID	2-dict
63	6	16	R234526780	ID	1-re
63	8	12	3452	ID	2-dict
65	2301	2311	F178290737	ID	1-re
89	9	14	78392	ID	2-dict
90	1525	1535	R223640298	ID	1-re
91	3	13	A184058370	ID	1-re
92	1423	1433	A148390275	ID	1-re
93	802	813	E1287394675	ID	1-re
103	633	643	S137465537	ID	1-re
106	690	695	83946	ID	2-dict
114	2643	2647	5362	ID	2-dict
121	996	1006	A289370198	ID	1-re
126	743	753	R147380478	ID	1-re
128	928	932	7846	ID	2-dict
131	1213	1218	73846	ID	2-dict
140	1917	1921	2735	ID	2-dict
142	15	25	R100382694	ID	1-re
146	6	16	E189370256	ID	1-re
150	7565	7571	837654	ID	2-dict
156	3273	3277	5632	ID	2-dict
158	1380	1390	A124699678	ID	1-re
