	article_id	start_position	end_position	entity_text	entity_type	source
2	0	198	200	新樓	location	bert
3	0	227	229	麻豆	location	bert
4	0	237	239	麻豆	location	bert
78	5	184	186	榮總	location	bert
176	8	216	218	台大	location	bert
234	11	1299	1301	學校	location	bert
238	11	1613	1615	學校	location	bert
253	11	4904	4906	學校	location	bert
254	11	4919	4923	台南國小	location	bert
311	14	1011	1015	台大醫院	location	bert
414	20	143	145	台中	location	bert
439	20	1286	1289	中山路	location	bert
440	20	1298	1301	中山路	location	bert
491	25	682	686	成功國小	location	bert
532	28	1066	1068	捷運	location	bert
559	29	859	861	蘆洲	location	bert
567	30	540	544	長庚醫院	location	bert
569	30	809	812	苓雅區	location	bert
570	30	862	865	苓雅區	location	bert
571	30	868	870	高雄	location	bert
572	30	878	880	高雄	location	bert
573	30	885	888	苓雅區	location	bert
684	37	502	506	新光三越	location	bert
734	41	2593	2595	台東	location	bert
735	41	2680	2682	台東	location	bert
742	42	1301	1304	大學路	location	bert
774	44	692	694	普林	location	bert
775	44	716	718	普林	location	bert
776	44	820	822	普林	location	bert
777	45	26	28	長庚	location	bert
787	45	997	999	台中	location	bert
788	45	1020	1022	台中	location	bert
789	45	1032	1034	台中	location	bert
817	45	2273	2275	長庚	location	bert
818	45	2292	2296	長庚醫院	location	bert
824	45	2456	2458	長庚	location	bert
825	45	2631	2633	高醫	location	bert
827	45	2795	2797	台大	location	bert
828	45	2844	2848	長庚醫院	location	bert
829	45	2869	2871	長庚	location	bert
851	47	906	909	台積電	location	bert
1063	60	294	298	大東醫院	location	bert
1069	60	2159	2163	大東醫院	location	bert
1149	65	1453	1455	德國	location	bert
1151	65	1490	1493	西班牙	location	bert
1152	65	1675	1677	美國	location	bert
1153	65	1684	1686	英國	location	bert
1169	66	816	820	台中醫院	location	bert
1283	68	1353	1355	台大	location	bert
1295	69	611	613	新樓	location	bert
1298	69	969	971	新樓	location	bert
1339	72	69	71	榮總	location	bert
1411	76	2408	2410	義大	location	bert
1414	76	2964	2966	義大	location	bert
1415	76	2976	2980	義大醫院	location	bert
1485	79	2140	2142	榮總	location	bert
1504	81	429	431	長庚	location	bert
1509	81	909	913	長庚醫院	location	bert
1511	81	932	936	長庚醫院	location	bert
1512	81	949	953	長庚醫院	location	bert
1513	81	957	961	大東醫院	location	bert
1549	83	813	815	信心	location	bert
1626	83	3633	3635	慈濟	location	bert
1709	87	60	64	交通大學	location	bert
1774	91	155	159	奇美醫院	location	bert
1868	95	1174	1176	汎生	location	bert
1886	97	558	560	台大	location	bert
1887	97	600	602	榮總	location	bert
1895	97	1300	1302	榮總	location	bert
1896	97	1305	1307	台大	location	bert
1968	100	1825	1827	長庚	location	bert
1969	100	1902	1904	長庚	location	bert
1970	100	1938	1940	長庚	location	bert
1971	100	1956	1958	台大	location	bert
1972	100	1997	1999	台大	location	bert
2006	104	381	383	台大	location	bert
2009	105	20	23	台積電	location	bert
2010	105	24	26	奇美	location	bert
2011	105	31	33	竹科	location	bert
2023	106	462	464	竹科	location	bert
2098	108	1818	1820	公文	location	bert
2159	110	1348	1350	墾丁	location	bert
2160	110	1355	1357	墾丁	location	bert
2161	110	1369	1371	石門	location	bert
2162	110	1375	1377	石門	location	bert
2163	110	1381	1385	石門水庫	location	bert
2164	110	1407	1409	貢寮	location	bert
2167	110	1461	1463	八里	location	bert
2168	110	1478	1480	九份	location	bert
2170	110	1526	1528	東區	location	bert
2171	110	1529	1531	台北	location	bert
2172	110	1535	1537	東區	location	bert
2173	110	1552	1554	台北	location	bert
2174	110	1556	1558	東區	location	bert
2176	110	1727	1729	宜蘭	location	bert
2177	110	1855	1857	台北	location	bert
2185	111	2263	2265	台廠	location	bert
2187	111	2598	2600	成大	location	bert
2190	112	249	251	臺北	location	bert
2192	112	292	294	臺南	location	bert
2204	113	1613	1615	國泰	location	bert
2205	113	1622	1624	國泰	location	bert
2206	113	1629	1631	富邦	location	bert
2207	113	1632	1634	遠雄	location	bert
2209	113	1645	1647	遠雄	location	bert
2297	117	1223	1225	高醫	location	bert
2315	120	1121	1125	陽明醫院	location	bert
2369	122	1371	1373	泰國	location	bert
2435	128	33	36	三溫暖	location	bert
2436	128	87	90	三溫暖	location	bert
2438	128	538	541	三溫暖	location	bert
2447	129	53	57	善化國小	location	bert
2554	135	878	880	泰國	location	bert
2577	137	291	293	長庚	location	bert
2618	139	435	437	高雄	location	bert
2619	139	438	440	台南	location	bert
2624	140	306	308	新竹	location	bert
2625	140	326	328	新竹	location	bert
2626	140	333	335	鹿港	location	bert
2627	140	369	371	鹿港	location	bert
2628	140	373	375	新竹	location	bert
2706	144	166	168	台中	location	bert
2707	144	186	188	台中	location	bert
2709	144	328	330	西屯	location	bert
2735	145	550	552	台中	location	bert
2799	149	26	28	成大	location	bert
2893	150	6914	6916	泰國	location	bert
2894	150	6947	6949	泰國	location	bert
2895	150	7002	7004	曼谷	location	bert
2896	150	7018	7020	泰國	location	bert
2925	152	983	985	泰國	location	bert
2926	152	991	993	泰國	location	bert
3013	155	1376	1378	泰國	location	bert
3014	155	1405	1407	泰國	location	bert
3032	156	2876	2878	長庚	location	bert
3034	156	3210	3212	台北	location	bert
3052	157	1675	1677	台灣	location	bert
3053	157	1735	1737	泰國	location	bert
3054	157	1751	1753	泰國	location	bert
3055	157	1794	1796	泰國	location	bert
3059	157	2177	2179	泰國	location	bert
3071	157	3609	3611	高雄	location	bert
