	article_id	start_position	end_position	entity_text	entity_type	source
8	1	76	80	0.79	med_exam	bert
9	1	94	96	88	med_exam	bert
10	1	122	124	60	med_exam	bert
11	1	258	261	2.6	med_exam	bert
13	1	366	369	6.6	med_exam	bert
14	1	385	388	6.6	med_exam	bert
15	1	394	397	8.3	med_exam	bert
16	1	407	410	8.3	med_exam	bert
17	1	418	421	8.3	med_exam	bert
18	1	463	466	6.2	med_exam	bert
24	1	873	875	21	med_exam	bert
27	2	170	174	1100	med_exam	bert
28	2	245	249	1145	med_exam	bert
29	2	275	278	500	med_exam	bert
30	2	285	288	500	med_exam	bert
34	2	678	680	55	med_exam	bert
35	2	681	683	57	med_exam	bert
36	2	699	701	52	med_exam	bert
38	2	872	873	3	med_exam	bert
39	2	1090	1094	7.56	med_exam	bert
41	2	1239	1241	35	med_exam	bert
42	2	1246	1248	35	med_exam	bert
57	4	148	153	36．9度	med_exam	bert
58	4	157	162	36．9度	med_exam	bert
59	4	163	168	36．9度	med_exam	bert
60	4	173	179	114/66	med_exam	bert
62	4	215	218	622	med_exam	bert
63	4	288	290	15	med_exam	bert
64	4	299	301	30	med_exam	bert
65	4	303	305	12	med_exam	bert
66	4	319	321	15	med_exam	bert
67	4	326	328	31	med_exam	bert
73	5	106	108	20	med_exam	bert
74	5	114	116	20	med_exam	bert
75	5	151	155	9700	med_exam	bert
76	5	162	166	9700	med_exam	bert
77	5	171	175	9700	med_exam	bert
119	5	2241	2245	9700	med_exam	bert
120	5	2268	2270	20	med_exam	bert
121	5	2271	2273	20	med_exam	bert
122	5	2275	2277	20	med_exam	bert
123	6	106	112	二點一二公分	med_exam	bert
127	6	238	243	四點一公分	med_exam	bert
128	6	317	320	四點多	med_exam	bert
147	6	2261	2264	三五八	med_exam	bert
173	8	60	62	五百	med_exam	bert
174	8	124	127	四十一	med_exam	bert
175	8	129	131	十九	med_exam	bert
177	8	504	507	五千五	med_exam	bert
179	8	543	547	一萬五千	med_exam	bert
199	9	1453	1459	14幾15幾	med_exam	bert
200	9	1525	1528	140	med_exam	bert
